n_usuarios,comparaciones,disco_csv_mb,ram_mb,objeto_mb,t_carga_s,knn_pearson_s,rec_pearson_s,resp_pearson_s,nrec_pearson,knn_coseno_s,rec_coseno_s,resp_coseno_s,nrec_coseno,knn_manhattan_s,rec_manhattan_s,resp_manhattan_s,nrec_manhattan,knn_euclidiana_s,rec_euclidiana_s,resp_euclidiana_s,nrec_euclidiana
10,9,2.37,9.444,1.164,13.3496,0.007,0.0117,0.0187,22,0.008,0.0153,0.0233,23,0.0094,0.009,0.0184,23,0.0097,0.0103,0.0199,23
30,29,2.37,25.129,3.493,13.0515,0.0252,0.0106,0.0358,44,0.0269,0.0114,0.0383,42,0.0295,0.0098,0.0393,21,0.0253,0.0115,0.0368,17
50,49,2.37,41.116,5.822,13.0006,0.0429,0.0123,0.0552,20,0.0467,0.0109,0.0577,41,0.0464,0.0096,0.056,13,0.0373,0.0112,0.0484,23
80,79,2.37,64.825,9.315,12.84,0.08,0.0118,0.0917,12,0.0745,0.0108,0.0854,18,0.0763,0.0097,0.086,7,0.0614,0.0099,0.0714,7
100,99,2.37,80.814,11.644,12.8176,0.0893,0.0122,0.1015,7,0.0894,0.0101,0.0996,7,0.0868,0.0101,0.0969,7,0.0811,0.0102,0.0912,7
150,149,2.37,120.509,17.466,20.5351,0.2185,0.0189,0.2374,5,0.2104,0.0175,0.2279,9,0.2312,0.0166,0.2478,7,0.1861,0.0159,0.202,7
200,199,2.37,160.099,23.288,19.7065,0.1734,0.011,0.1844,3,0.1733,0.0104,0.1837,8,0.1854,0.0105,0.1959,8,0.2272,0.0094,0.2367,7
300,299,2.37,239.599,34.932,11.9556,0.2649,0.0104,0.2753,18,0.2915,0.0092,0.3007,5,0.2759,0.0097,0.2857,6,0.2281,0.0103,0.2385,9
500,499,2.37,398.394,58.22,11.3412,0.466,0.0114,0.4774,1,0.4085,0.0097,0.4182,13,0.4374,0.0104,0.4478,7,0.3965,0.0096,0.4061,5
610,609,2.37,485.616,71.028,11.5291,0.5667,0.0092,0.5759,10,0.5878,0.0104,0.5982,18,0.532,0.0116,0.5435,9,0.4889,0.0105,0.4994,9
